bank_txn_id,amount,currency,type,transaction_date,description,reference
BNK_F5323D40,121465,INR,CREDIT,2026-08-20T03:54:07Z,SETTLEMENT SET_BA4F3447,SET_BA4F3447
BNK_7C9E9D6E,272709,INR,CREDIT,2026-07-15T01:51:55Z,SETTLEMENT SET_D6D023BD,SET_D6D023BD
BNK_15B9E332,815685,INR,CREDIT,2026-08-29T08:09:45Z,SETTLEMENT SET_3E1708F2,SET_3E1708F2
BNK_6773906C,1631074,INR,CREDIT,2026-07-21T19:00:17Z,SETTLEMENT SET_D8F8B8D2,SET_D8F8B8D2
BNK_A2364A2D,1671971,INR,CREDIT,2026-08-27T23:49:50Z,SETTLEMENT SET_38DE3615,SET_38DE3615
BNK_B3DED152,1535780,INR,CREDIT,2026-08-19T20:47:57Z,SETTLEMENT SET_EAB16EFE,SET_EAB16EFE
BNK_9E49BD0C,-10096,INR,CREDIT,2026-08-15T18:18:58Z,SETTLEMENT SET_3966DE33,SET_3966DE33
BNK_FC9F3F44,1513420,INR,CREDIT,2026-08-02T07:16:08Z,SETTLEMENT SET_346CD5DB,SET_346CD5DB
BNK_697391EF,417704,INR,CREDIT,2026-07-04T06:46:58Z,SETTLEMENT SET_3DDE3305,SET_3DDE3305
BNK_C98900CB,895066,INR,CREDIT,2026-07-27T18:50:22Z,SETTLEMENT SET_7EBC2D1E,SET_7EBC2D1E
BNK_D2493B5E,249080,INR,CREDIT,2026-07-19T22:46:41Z,SETTLEMENT SET_2F7D3478,SET_2F7D3478
BNK_AB4DE4AB,935698,INR,CREDIT,2026-08-27T11:58:14Z,SETTLEMENT SET_60144504,SET_60144504
BNK_2EA265CD,288038,INR,CREDIT,2026-08-09T12:57:12Z,SETTLEMENT SET_ED06A29E,SET_ED06A29E
BNK_F8ED6B15,29292000,INR,CREDIT,2026-08-03T22:27:59Z,SETTLEMENT SET_80A81883,SET_80A81883
BNK_2EF94A7A,1204097,INR,CREDIT,2026-07-25T06:45:10Z,SETTLEMENT SET_5671C6F1,SET_5671C6F1
BNK_B5DB9311,1809563,INR,CREDIT,2026-08-30T20:52:39Z,SETTLEMENT SET_916EAAB0,SET_916EAAB0
BNK_15522C70,1587920,INR,CREDIT,2026-08-12T14:22:47Z,SETTLEMENT SET_88429CDE,SET_88429CDE
BNK_0353A53E,1923997,INR,CREDIT,2026-07-03T13:07:11Z,SETTLEMENT SET_BDC7FA87,SET_BDC7FA87
BNK_396F1BAD,1312966,INR,CREDIT,2026-07-18T16:01:42Z,SETTLEMENT SET_A83B4035,SET_A83B4035
BNK_9F117989,461935,INR,CREDIT,2026-07-26T08:33:28Z,SETTLEMENT SET_27016739,SET_27016739
BNK_73C4C974,1501899,INR,CREDIT,2026-08-16T11:48:27Z,SETTLEMENT SET_DF5BF244,SET_DF5BF244
BNK_4BC44C7E,1279084,INR,CREDIT,2026-08-09T20:05:07Z,SETTLEMENT SET_F24E4D27,SET_F24E4D27
BNK_43403EF0,1317652,INR,CREDIT,2026-08-22T00:21:14Z,SETTLEMENT SET_8C026CBC,SET_8C026CBC
BNK_AA2B7527,1361004,INR,CREDIT,2026-07-04T06:44:48Z,SETTLEMENT SET_86459E7C,SET_86459E7C
BNK_D32B851F,272311,INR,CREDIT,2026-08-20T06:37:15Z,SETTLEMENT SET_83FD2B2A,SET_83FD2B2A
BNK_20086883,159056,INR,CREDIT,2026-08-31T15:38:44Z,SETTLEMENT SET_ACD2ACA6,SET_ACD2ACA6
BNK_AD6C70E0,58584000,INR,CREDIT,2026-08-31T21:08:15Z,SETTLEMENT SET_6311DC92,SET_6311DC92
BNK_4B6F350E,713651,INR,CREDIT,2026-08-20T18:19:29Z,SETTLEMENT SET_6C90CB95,SET_6C90CB95
BNK_CB5977B6,1324194,INR,CREDIT,2026-09-03T06:26:54Z,SETTLEMENT SET_2391BDB4,SET_2391BDB4
BNK_73ECD09D,673619,INR,CREDIT,2026-08-21T03:56:27Z,SETTLEMENT SET_6461B0A8,SET_6461B0A8
BNK_E3E6D3F8,-36027,INR,CREDIT,2026-08-16T07:29:28Z,SETTLEMENT SET_F3B95DE5,SET_F3B95DE5
BNK_18B4BAFE,968196,INR,CREDIT,2026-08-13T17:08:23Z,SETTLEMENT SET_B2DBE54C,SET_B2DBE54C
BNK_7F80F6B2,215297,INR,CREDIT,2026-07-12T10:53:57Z,SETTLEMENT SET_A8680C70,SET_A8680C70
BNK_FE54FDAE,371814,INR,CREDIT,2026-07-27T14:26:28Z,SETTLEMENT SET_E388B554,SET_E388B554
BNK_AEEF51B2,1903492,INR,CREDIT,2026-07-26T04:45:47Z,SETTLEMENT SET_55F7A56E,SET_55F7A56E
BNK_D85749DB,1728326,INR,CREDIT,2026-07-03T17:23:51Z,SETTLEMENT SET_B094399E,SET_B094399E
BNK_5F71D5DA,814075,INR,CREDIT,2026-08-13T06:59:03Z,SETTLEMENT SET_63AF5641,SET_63AF5641
BNK_15F24B02,288429,INR,CREDIT,2026-08-23T03:42:42Z,SETTLEMENT SET_D06BE0D3,SET_D06BE0D3
BNK_D353DA83,711894,INR,CREDIT,2026-09-03T02:05:56Z,SETTLEMENT SET_CDDB5023,SET_CDDB5023
BNK_98876D38,-12557,INR,CREDIT,2026-07-24T11:06:19Z,SETTLEMENT SET_465CE16C,SET_465CE16C
BNK_CB74148F,612884,INR,CREDIT,2026-07-29T23:12:23Z,SETTLEMENT SET_E8D9BD4E,SET_E8D9BD4E
BNK_389DEFBA,871145,INR,CREDIT,2026-07-12T10:31:22Z,SETTLEMENT SET_9D85EC9B,SET_9D85EC9B
BNK_A8D0B911,1041526,INR,CREDIT,2026-08-15T15:51:11Z,SETTLEMENT SET_E632695C,SET_E632695C
BNK_404B1956,122832,INR,CREDIT,2026-07-21T12:22:00Z,SETTLEMENT SET_ADF53236,SET_ADF53236
BNK_CD57437C,1830165,INR,CREDIT,2026-07-25T10:48:02Z,SETTLEMENT SET_6708FD03,SET_6708FD03
BNK_D29C73DF,1533827,INR,CREDIT,2026-08-21T02:05:02Z,SETTLEMENT SET_452AF827,SET_452AF827
BNK_254334E8,841561,INR,CREDIT,2026-07-17T23:12:23Z,SETTLEMENT SET_CE7188EB,SET_CE7188EB
BNK_3B26024C,-11915,INR,CREDIT,2026-07-29T20:36:00Z,SETTLEMENT SET_EAB55EA2,SET_EAB55EA2
BNK_838DFB9E,661704,INR,CREDIT,2026-08-12T00:19:37Z,SETTLEMENT SET_115A9E4C,SET_115A9E4C
BNK_2959E219,981282,INR,CREDIT,2026-07-31T23:22:58Z,SETTLEMENT SET_1D7B3ED8,SET_1D7B3ED8
BNK_0A68FC97,1589873,INR,CREDIT,2026-08-08T09:12:01Z,SETTLEMENT SET_B030ECD9,SET_B030ECD9
BNK_E2765424,278860,INR,CREDIT,2026-08-24T09:39:06Z,SETTLEMENT SET_2B176276,SET_2B176276
BNK_B4C7AC88,1358561,INR,CREDIT,2026-07-05T09:53:12Z,SETTLEMENT SET_A613B1F5,SET_A613B1F5
BNK_0DBBA9B9,946698,INR,CREDIT,2026-08-18T16:55:19Z,SETTLEMENT SET_3E2AE4CA,SET_3E2AE4CA
BNK_E0D00E5D,1273031,INR,CREDIT,2026-07-21T08:33:12Z,SETTLEMENT SET_719DA37E,SET_719DA37E
BNK_049A3EF9,1236221,INR,CREDIT,2026-08-07T06:47:01Z,SETTLEMENT SET_698592C0,SET_698592C0
BNK_6DC3DE57,29292000,INR,CREDIT,2026-07-25T15:10:12Z,SETTLEMENT SET_AF9F8051,SET_AF9F8051
BNK_5747C68D,278177,INR,CREDIT,2026-08-23T13:02:05Z,SETTLEMENT SET_DAD6BBD5,SET_DAD6BBD5
BNK_157E8787,763350,INR,CREDIT,2026-08-13T15:33:52Z,SETTLEMENT SET_32FAE30E,SET_32FAE30E
BNK_5E8D1BFF,1731841,INR,CREDIT,2026-08-02T14:26:05Z,SETTLEMENT SET_B5E7B3EE,SET_B5E7B3EE
BNK_B52C6E07,-10041,INR,CREDIT,2026-07-03T09:21:07Z,SETTLEMENT SET_EA3F97EE,SET_EA3F97EE
BNK_8031ABA4,128152,INR,CREDIT,2026-07-23T22:13:48Z,SETTLEMENT SET_04AC6DEC,SET_04AC6DEC
BNK_7321F0FC,1035763,INR,CREDIT,2026-08-15T13:37:41Z,SETTLEMENT SET_44BB3F01,SET_44BB3F01
BNK_AC903707,469356,INR,CREDIT,2026-08-27T21:35:59Z,SETTLEMENT SET_95A0BEE3,SET_95A0BEE3
BNK_61366B5C,1158890,INR,CREDIT,2026-09-03T17:30:23Z,SETTLEMENT SET_0102F524,SET_0102F524
BNK_C0F50A80,513417,INR,CREDIT,2026-07-13T02:02:30Z,SETTLEMENT SET_F64BB082,SET_F64BB082
BNK_0DC7ED69,1911401,INR,CREDIT,2026-08-07T11:20:29Z,SETTLEMENT SET_6DBF62F3,SET_6DBF62F3
BNK_B7863175,1187108,INR,CREDIT,2026-07-14T15:33:51Z,SETTLEMENT SET_1E3ECFD6,SET_1E3ECFD6
BNK_219C9952,108479,INR,CREDIT,2026-07-25T08:22:16Z,SETTLEMENT SET_7AE85427,SET_7AE85427
BNK_2999A2EA,299658,INR,CREDIT,2026-07-24T00:52:01Z,SETTLEMENT SET_0D14A5C0,SET_0D14A5C0
BNK_2F99DC3E,1001103,INR,CREDIT,2026-07-29T18:04:07Z,SETTLEMENT SET_1EC973E1,SET_1EC973E1
BNK_25863F85,1790620,INR,CREDIT,2026-08-05T06:37:27Z,SETTLEMENT SET_C2474503,SET_C2474503
BNK_42A11F26,474605,INR,CREDIT,2026-08-31T01:37:48Z,SETTLEMENT SET_B5E53F36,SET_B5E53F36
BNK_12210607,785775,INR,CREDIT,2026-08-27T14:05:17Z,SETTLEMENT SET_E27A7EDF,SET_E27A7EDF
BNK_B9FE8DA8,952674,INR,CREDIT,2026-08-29T17:16:32Z,SETTLEMENT SET_7B85D6E8,SET_7B85D6E8
BNK_51903D5C,124980,INR,CREDIT,2026-08-13T04:42:38Z,SETTLEMENT SET_329A102B,SET_329A102B
BNK_56F1DDE6,133297,INR,CREDIT,2026-08-11T01:15:04Z,SETTLEMENT SET_158F3112,SET_158F3112
BNK_29FCD22F,1554722,INR,CREDIT,2026-08-16T00:43:07Z,SETTLEMENT SET_BECE11BF,SET_BECE11BF
BNK_746B510A,1888456,INR,CREDIT,2026-07-07T07:12:01Z,SETTLEMENT SET_A7F5B786,SET_A7F5B786
BNK_61DDEFDC,282571,INR,CREDIT,2026-07-23T18:05:50Z,SETTLEMENT SET_1321EBB0,SET_1321EBB0
BNK_5FB9C09C,1807317,INR,CREDIT,2026-07-15T08:14:50Z,SETTLEMENT SET_A3BCCAAE,SET_A3BCCAAE
BNK_3277C7BE,933146,INR,CREDIT,2026-07-18T18:19:40Z,SETTLEMENT SET_557935C9,SET_557935C9
BNK_725D5BC7,352774,INR,CREDIT,2026-07-20T11:34:01Z,SETTLEMENT SET_98CC217A,SET_98CC217A
BNK_93B5FDCA,1400842,INR,CREDIT,2026-07-08T13:24:18Z,SETTLEMENT SET_7239DA2C,SET_7239DA2C
BNK_767DBEDD,657704,INR,CREDIT,2026-08-11T01:51:24Z,SETTLEMENT SET_50E274D9,SET_50E274D9
BNK_2EA5D48D,41790,INR,CREDIT,2026-08-22T05:08:42Z,SETTLEMENT SET_9A1A8CF0,SET_9A1A8CF0
BNK_BA334107,1326242,INR,CREDIT,2026-07-13T15:12:07Z,SETTLEMENT SET_80B395C1,SET_80B395C1
BNK_DD1F8AE5,992366,INR,CREDIT,2026-09-03T17:31:21Z,SETTLEMENT SET_746EE6AE,SET_746EE6AE
BNK_7B65E99F,952088,INR,CREDIT,2026-07-28T11:15:41Z,SETTLEMENT SET_2B7D21C7,SET_2B7D21C7
BNK_4BC0967F,930803,INR,CREDIT,2026-07-18T11:41:27Z,SETTLEMENT SET_96E540A8,SET_96E540A8
BNK_6071ED1C,720779,INR,CREDIT,2026-08-10T00:47:43Z,SETTLEMENT SET_35B3DB28,SET_35B3DB28
BNK_7705A7DA,1627366,INR,CREDIT,2026-08-22T10:14:22Z,SETTLEMENT SET_C27CDF45,SET_C27CDF45
BNK_2F0289CF,831015,INR,CREDIT,2026-08-02T22:08:44Z,SETTLEMENT SET_FD081A99,SET_FD081A99
BNK_C71C409B,966344,INR,CREDIT,2026-07-14T06:49:17Z,SETTLEMENT SET_60FAA38E,SET_60FAA38E
BNK_08028736,836464,INR,CREDIT,2026-08-02T05:06:17Z,SETTLEMENT SET_65BD8148,SET_65BD8148
BNK_C5DD4ABA,1462452,INR,CREDIT,2026-07-11T04:30:24Z,SETTLEMENT SET_8D33BF97,SET_8D33BF97
BNK_E5DAC5F7,1072674,INR,CREDIT,2026-08-09T14:21:28Z,SETTLEMENT SET_D708C119,SET_D708C119
BNK_E6DF427A,600386,INR,CREDIT,2026-08-02T15:07:58Z,SETTLEMENT SET_8326E710,SET_8326E710
BNK_23FB9CB6,219202,INR,CREDIT,2026-07-18T06:26:55Z,SETTLEMENT SET_14375653,SET_14375653
BNK_98C0AE38,868656,INR,CREDIT,2026-07-17T02:47:54Z,SETTLEMENT SET_454CDD64,SET_454CDD64
BNK_E691EAC9,808451,INR,CREDIT,2026-07-13T16:32:34Z,SETTLEMENT SET_46D9F7F6,SET_46D9F7F6
BNK_9B732820,1950164,INR,CREDIT,2026-08-03T11:34:21Z,SETTLEMENT SET_59A9503C,SET_59A9503C
BNK_E8DC9673,1865510,INR,CREDIT,2026-08-19T08:48:59Z,SETTLEMENT SET_CEDF2EBC,SET_CEDF2EBC
BNK_7F74A0DF,1401818,INR,CREDIT,2026-08-04T01:36:17Z,SETTLEMENT SET_B4F86986,SET_B4F86986
BNK_64233EC2,1790620,INR,CREDIT,2026-07-15T00:15:25Z,SETTLEMENT SET_41A6CC54,SET_41A6CC54
BNK_1061DFE3,166281,INR,CREDIT,2026-07-07T14:01:18Z,SETTLEMENT SET_4A694678,SET_4A694678
BNK_278F396B,459980,INR,CREDIT,2026-07-18T10:56:37Z,SETTLEMENT SET_679208BC,SET_679208BC
BNK_EA7C4B0C,1653924,INR,CREDIT,2026-08-24T11:51:43Z,SETTLEMENT SET_374AAD1A,SET_374AAD1A
BNK_0A7F3B3D,39923,INR,CREDIT,2026-07-07T03:29:14Z,SETTLEMENT SET_DDE92D77,SET_DDE92D77
BNK_77A79827,724986,INR,CREDIT,2026-07-29T21:51:39Z,SETTLEMENT SET_824CD0E8,SET_824CD0E8
BNK_3BA68515,56046,INR,CREDIT,2026-08-11T08:52:58Z,SETTLEMENT SET_E2999DB6,SET_E2999DB6
BNK_1DCBB7E4,86119,INR,CREDIT,2026-08-16T02:44:33Z,SETTLEMENT SET_2E292EAA,SET_2E292EAA
BNK_52E9D80F,530381,INR,CREDIT,2026-07-21T08:15:12Z,SETTLEMENT SET_29DE2EB0,SET_29DE2EB0
BNK_8E4E9490,29292000,INR,CREDIT,2026-07-28T18:24:02Z,SETTLEMENT SET_3295A7CB,SET_3295A7CB
BNK_6F7A03E5,1573762,INR,CREDIT,2026-08-29T02:57:18Z,SETTLEMENT SET_2B52E3BA,SET_2B52E3BA
BNK_DF788FEA,476679,INR,CREDIT,2026-08-17T04:11:16Z,SETTLEMENT SET_CFB77330,SET_CFB77330
BNK_6DF7C736,1129793,INR,CREDIT,2026-08-06T03:06:16Z,SETTLEMENT SET_A860AD61,SET_A860AD61
BNK_36AFD075,1146196,INR,CREDIT,2026-07-17T01:33:24Z,SETTLEMENT SET_CF20815F,SET_CF20815F
BNK_084FA5D5,543855,INR,CREDIT,2026-08-29T07:37:47Z,SETTLEMENT SET_4806EDC3,SET_4806EDC3
BNK_E6865E2D,-34215,INR,CREDIT,2026-08-22T02:03:20Z,SETTLEMENT SET_1322C86B,SET_1322C86B
BNK_507B35BA,609567,INR,CREDIT,2026-08-01T23:56:49Z,SETTLEMENT SET_4F9DDD33,SET_4F9DDD33
BNK_5F22F0F3,1515178,INR,CREDIT,2026-08-25T11:18:21Z,SETTLEMENT SET_14D2D2E7,SET_14D2D2E7
BNK_42288AF3,29292000,INR,CREDIT,2026-07-08T16:19:34Z,SETTLEMENT SET_1618B7C8,SET_1618B7C8
BNK_AD7CC718,630267,INR,CREDIT,2026-08-28T17:28:00Z,SETTLEMENT SET_DF122403,SET_DF122403
BNK_0C399F2B,29292000,INR,CREDIT,2026-07-12T22:10:48Z,SETTLEMENT SET_C775EC62,SET_C775EC62
BNK_E071D8C0,1143365,INR,CREDIT,2026-07-14T04:49:53Z,SETTLEMENT SET_C6FC1624,SET_C6FC1624
BNK_95CBF0BE,880713,INR,CREDIT,2026-07-09T05:22:12Z,SETTLEMENT SET_81E01358,SET_81E01358
BNK_FAC8E331,14646000,INR,CREDIT,2026-09-03T00:07:12Z,SETTLEMENT SET_1BCBEB1F,SET_1BCBEB1F
BNK_14892F87,1009989,INR,CREDIT,2026-08-23T08:30:22Z,SETTLEMENT SET_A2ABC452,SET_A2ABC452
BNK_0CC5426F,503821,INR,CREDIT,2026-07-06T13:06:40Z,SETTLEMENT SET_8EC2F5DD,SET_8EC2F5DD
BNK_F2EA46F1,5370200,INR,CREDIT,2026-07-14T23:27:54Z,SETTLEMENT SET_30AA6C57,SET_30AA6C57
BNK_DBF2F19E,911665,INR,CREDIT,2026-08-29T10:58:12Z,SETTLEMENT SET_22B70AFB,SET_22B70AFB
BNK_567D1AFD,1931808,INR,CREDIT,2026-08-28T17:15:08Z,SETTLEMENT SET_422A9C1C,SET_422A9C1C
BNK_69F2B065,1178220,INR,CREDIT,2026-08-31T05:56:08Z,SETTLEMENT SET_65A459D1,SET_65A459D1
BNK_C8ED9614,1906812,INR,CREDIT,2026-08-28T09:54:57Z,SETTLEMENT SET_27C51805,SET_27C51805
BNK_26026EC8,730934,INR,CREDIT,2026-09-01T14:17:19Z,SETTLEMENT SET_6D74C44B,SET_6D74C44B
BNK_068FE30A,500503,INR,CREDIT,2026-07-24T13:55:34Z,SETTLEMENT SET_AF7347C1,SET_AF7347C1
BNK_717E118B,231340,INR,CREDIT,2026-09-03T09:39:14Z,SETTLEMENT SET_ABDFDC82,SET_ABDFDC82
BNK_C6055593,943496,INR,CREDIT,2026-08-21T21:31:58Z,SETTLEMENT SET_6BE15C47,SET_6BE15C47
BNK_2EC5F3C9,1648552,INR,CREDIT,2026-08-28T04:25:49Z,SETTLEMENT SET_C8958A97,SET_C8958A97
BNK_45BB91D9,401496,INR,CREDIT,2026-08-06T00:27:35Z,SETTLEMENT SET_D97D9CA7,SET_D97D9CA7
BNK_D6AD5657,271830,INR,CREDIT,2026-07-17T06:19:46Z,SETTLEMENT SET_13A4A85B,SET_13A4A85B
BNK_3E5B4296,158543,INR,CREDIT,2026-08-16T18:38:01Z,SETTLEMENT SET_55955AF5,SET_55955AF5
BNK_F6A4F279,1443120,INR,CREDIT,2026-07-31T21:05:48Z,SETTLEMENT SET_DBD90E06,SET_DBD90E06
BNK_F10DCD7E,294190,INR,CREDIT,2026-08-13T17:26:25Z,SETTLEMENT SET_8247A7FD,SET_8247A7FD
BNK_8ED26551,466524,INR,CREDIT,2026-08-05T06:06:15Z,SETTLEMENT SET_71F85446,SET_71F85446
BNK_59372D14,670201,INR,CREDIT,2026-08-26T18:04:16Z,SETTLEMENT SET_C00B3246,SET_C00B3246
BNK_8900A844,203385,INR,CREDIT,2026-07-22T16:24:27Z,SETTLEMENT SET_245EEA1C,SET_245EEA1C
BNK_CD0ABA7A,521740,INR,CREDIT,2026-08-20T19:56:11Z,SETTLEMENT SET_5D4FBF9B,SET_5D4FBF9B
BNK_BA46114E,1477587,INR,CREDIT,2026-08-06T17:11:50Z,SETTLEMENT SET_F1920C89,SET_F1920C89
BNK_D2EDF96A,830624,INR,CREDIT,2026-07-04T10:07:43Z,SETTLEMENT SET_5DBFFFEF,SET_5DBFFFEF
BNK_7F132400,642176,INR,CREDIT,2026-07-03T03:37:46Z,SETTLEMENT SET_E2249275,SET_E2249275
BNK_B832ACBC,1702940,INR,CREDIT,2026-08-15T09:12:33Z,SETTLEMENT SET_FE17AAE5,SET_FE17AAE5
BNK_42BA7454,1641034,INR,CREDIT,2026-07-05T17:38:55Z,SETTLEMENT SET_8001A60E,SET_8001A60E
BNK_36AA9E75,1144632,INR,CREDIT,2026-07-20T12:45:37Z,SETTLEMENT SET_2D6DB4F5,SET_2D6DB4F5
BNK_7539EA0F,35834,INR,CREDIT,2026-08-07T03:03:27Z,SETTLEMENT SET_71EE878E,SET_71EE878E
BNK_DFA01B6B,873976,INR,CREDIT,2026-08-06T15:50:58Z,SETTLEMENT SET_B40AB433,SET_B40AB433
BNK_1ABB0E7B,1908081,INR,CREDIT,2026-07-12T22:49:49Z,SETTLEMENT SET_DCF42B4E,SET_DCF42B4E
BNK_DB60A965,1716414,INR,CREDIT,2026-08-09T19:26:09Z,SETTLEMENT SET_D1B71249,SET_D1B71249
BNK_546CDE6A,14646000,INR,CREDIT,2026-07-19T20:18:59Z,SETTLEMENT SET_BE92E3F3,SET_BE92E3F3
BNK_463B14B9,511927,INR,CREDIT,2026-07-28T20:58:02Z,SETTLEMENT SET_A2EF8E3B,SET_A2EF8E3B
BNK_1390B76C,696857,INR,CREDIT,2026-08-24T00:24:25Z,SETTLEMENT SET_8B801138,SET_8B801138
BNK_A7375A3E,1813078,INR,CREDIT,2026-07-24T19:59:50Z,SETTLEMENT SET_B3303594,SET_B3303594
BNK_B05D186A,774188,INR,CREDIT,2026-08-19T07:47:16Z,SETTLEMENT SET_66697BC8,SET_66697BC8
BNK_45F77575,-1708,INR,CREDIT,2026-07-12T20:56:03Z,SETTLEMENT SET_7882D95A,SET_7882D95A
BNK_47B8D92C,1919408,INR,CREDIT,2026-08-10T12:20:59Z,SETTLEMENT SET_39167E2B,SET_39167E2B
BNK_EEFBDD02,342229,INR,CREDIT,2026-09-03T00:22:14Z,SETTLEMENT SET_541D07C6,SET_541D07C6
BNK_CF72DF05,1705478,INR,CREDIT,2026-09-03T16:35:08Z,SETTLEMENT SET_109EBBC8,SET_109EBBC8
BNK_F1974593,1508831,INR,CREDIT,2026-08-29T03:09:43Z,SETTLEMENT SET_B8671288,SET_B8671288
BNK_EB4F8AC6,1750490,INR,CREDIT,2026-08-17T22:41:23Z,SETTLEMENT SET_89A1097F,SET_89A1097F
BNK_81922652,446411,INR,CREDIT,2026-07-26T18:56:24Z,SETTLEMENT SET_CE5AF3F2,SET_CE5AF3F2
BNK_57F35E57,837083,INR,CREDIT,2026-08-19T18:55:38Z,SETTLEMENT SET_880D1C49,SET_880D1C49
BNK_585BC096,-37144,INR,CREDIT,2026-08-19T04:31:54Z,SETTLEMENT SET_F75B0804,SET_F75B0804
BNK_2214D5B6,1399768,INR,CREDIT,2026-07-21T18:03:50Z,SETTLEMENT SET_DE5412FD,SET_DE5412FD
BNK_6EE3948C,484390,INR,CREDIT,2026-08-19T03:46:02Z,SETTLEMENT SET_6C2C9A06,SET_6C2C9A06
BNK_25FFB37A,80553,INR,CREDIT,2026-08-08T06:19:39Z,SETTLEMENT SET_C35A07A6,SET_C35A07A6
BNK_B6183E37,881983,INR,CREDIT,2026-09-03T07:35:35Z,SETTLEMENT SET_9DC2CA36,SET_9DC2CA36
BNK_4A2D997F,14646000,INR,CREDIT,2026-08-28T17:28:22Z,SETTLEMENT SET_D46F514B,SET_D46F514B
BNK_3BCC8781,491813,INR,CREDIT,2026-07-31T22:54:26Z,SETTLEMENT SET_D2E6A88A,SET_D2E6A88A
BNK_36F6E6F8,789908,INR,CREDIT,2026-08-21T13:16:42Z,SETTLEMENT SET_4CC0B0A1,SET_4CC0B0A1
BNK_F30987D8,-26988,INR,CREDIT,2026-08-05T21:33:37Z,SETTLEMENT SET_9AB1E2F0,SET_9AB1E2F0
BNK_AC81B6E5,947890,INR,CREDIT,2026-07-27T11:39:18Z,SETTLEMENT SET_FD2CBE12,SET_FD2CBE12
BNK_177CAAC3,203092,INR,CREDIT,2026-08-19T20:49:39Z,SETTLEMENT SET_D54ED9A8,SET_D54ED9A8
BNK_A74B9F86,442975,INR,CREDIT,2026-08-09T22:37:57Z,SETTLEMENT SET_1E85447F,SET_1E85447F
BNK_4D202435,250838,INR,CREDIT,2026-08-15T01:56:58Z,SETTLEMENT SET_9BBD801C,SET_9BBD801C
BNK_F20651B0,681634,INR,CREDIT,2026-08-16T10:45:35Z,SETTLEMENT SET_63CEDA24,SET_63CEDA24
