settlement_id,merchant_id,gross_amount,fees,tax,refunds,chargebacks,adjustments,net_amount,currency,status,created_at,payment_reference
SET_80A81883,MERCH_040,30000000,600000,108000,0,0,0,29292000,INR,PROCESSED,2026-08-03T22:27:59Z,SETTLE-MERCH_040-HV
SET_5671C6F1,MERCH_030,1233200,24664,4439,0,0,0,1204097,INR,PROCESSED,2026-07-25T06:45:10Z,REF-PAY_7E36025E
SET_916EAAB0,MERCH_025,1853300,37066,6671,0,0,0,1809563,INR,PROCESSED,2026-08-30T20:52:39Z,REF-PAY_65D42357
SET_88429CDE,MERCH_022,1626300,32526,5854,0,0,0,1587920,INR,PROCESSED,2026-08-12T14:22:47Z,REF-PAY_BA1BA703
SET_BDC7FA87,MERCH_048,1970500,39410,7093,0,0,0,1923997,INR,PROCESSED,2026-07-03T13:07:11Z,REF-PAY_9A231A75-TYPO
SET_A83B4035,MERCH_031,1344700,26894,4840,0,0,0,1312966,INR,PROCESSED,2026-07-18T16:01:42Z,REF-PAY_A011A2C9
SET_27016739,MERCH_047,473100,9462,1703,0,0,0,461935,INR,PROCESSED,2026-07-26T08:33:28Z,REF-PAY_A42FAC93
SET_DF5BF244,MERCH_014,1538200,30764,5537,0,0,0,1501899,INR,PROCESSED,2026-08-16T11:48:27Z,REF-PAY_0862452D
SET_F24E4D27,MERCH_049,1310000,26200,4716,0,0,0,1279084,INR,PROCESSED,2026-08-09T20:05:07Z,REF-PAY_7E1C7BA9
SET_8C026CBC,MERCH_008,1349500,26990,4858,0,0,0,1317652,INR,PROCESSED,2026-08-22T00:21:14Z,REF-PAY_4FE294B1
SET_86459E7C,MERCH_004,1393900,27878,5018,0,0,0,1361004,INR,PROCESSED,2026-07-04T06:44:48Z,REF-PAY_F0CB3755
SET_83FD2B2A,MERCH_049,571600,11432,2057,285800,0,0,272311,INR,PROCESSED,2026-08-20T06:37:15Z,REF-PAY_B4C92F87
SET_ACD2ACA6,MERCH_010,162900,3258,586,0,0,0,159056,INR,PROCESSED,2026-08-31T15:38:44Z,REF-PAY_5E4878A0
SET_6311DC92,MERCH_012,60000000,1200000,216000,0,0,0,58584000,INR,PROCESSED,2026-08-31T21:08:15Z,SETTLE-MERCH_012-HV
SET_6C90CB95,MERCH_010,730900,14618,2631,0,0,0,713651,INR,PROCESSED,2026-08-20T18:19:29Z,REF-PAY_A7604DAF
SET_2391BDB4,MERCH_024,1356200,27124,4882,0,0,0,1324194,INR,PROCESSED,2026-09-03T06:26:54Z,REF-PAY_2A2251B7
SET_6461B0A8,MERCH_048,689900,13798,2483,0,0,0,673619,INR,PROCESSED,2026-08-21T03:56:27Z,REF-PAY_0E8DE81E
SET_F3B95DE5,MERCH_013,1526600,30532,5495,0,1526600,0,-36027,INR,PROCESSED,2026-08-16T07:29:28Z,REF-PAY_A96FFECE
SET_B2DBE54C,MERCH_016,991700,19834,3570,0,0,0,968196,INR,PROCESSED,2026-08-13T17:08:23Z,REF-PAY_D25D667E
SET_A8680C70,MERCH_015,220500,4410,793,0,0,0,215297,INR,PROCESSED,2026-07-12T10:53:57Z,REF-PAY_168FE321
SET_E388B554,MERCH_011,380800,7616,1370,0,0,0,371814,INR,PROCESSED,2026-07-27T14:26:28Z,REF-PAY_70C3377E
SET_55F7A56E,MERCH_008,1949500,38990,7018,0,0,0,1903492,INR,PROCESSED,2026-07-26T04:45:47Z,REF-PAY_7B539325
SET_B094399E,MERCH_004,1770100,35402,6372,0,0,0,1728326,INR,PROCESSED,2026-07-03T17:23:51Z,REF-PAY_AE36AB42
SET_63AF5641,MERCH_031,833700,16674,3001,0,0,0,814075,INR,PROCESSED,2026-08-13T06:59:03Z,REF-PAY_0671F73B
SET_D06BE0D3,MERCH_049,295400,5908,1063,0,0,0,288429,INR,PROCESSED,2026-08-23T03:42:42Z,REF-PAY_9301ECB7
SET_CDDB5023,MERCH_016,729100,14582,2624,0,0,0,711894,INR,PROCESSED,2026-09-03T02:05:56Z,REF-PAY_EF9B86B4
SET_465CE16C,MERCH_019,532100,10642,1915,0,532100,0,-12557,INR,PROCESSED,2026-07-24T11:06:19Z,REF-PAY_E4020035
SET_E8D9BD4E,MERCH_038,627800,12556,2260,0,0,0,612884,INR,PROCESSED,2026-07-29T23:12:23Z,REF-PAY_FAA4CC3D
SET_9D85EC9B,MERCH_043,892200,17844,3211,0,0,0,871145,INR,PROCESSED,2026-07-12T10:31:22Z,REF-PAY_90258050
SET_E632695C,MERCH_019,1066700,21334,3840,0,0,0,1041526,INR,PROCESSED,2026-08-15T15:51:11Z,REF-PAY_A1F277D7
SET_ADF53236,MERCH_049,125800,2516,452,0,0,0,122832,INR,PROCESSED,2026-07-21T12:22:00Z,REF-PAY_980F64FB
SET_6708FD03,MERCH_049,1874400,37488,6747,0,0,0,1830165,INR,PROCESSED,2026-07-25T10:48:02Z,REF-PAY_F1BF39C8
SET_452AF827,MERCH_025,1570900,31418,5655,0,0,0,1533827,INR,PROCESSED,2026-08-21T02:05:02Z,REF-PAY_568504D8
SET_CE7188EB,MERCH_020,1766500,35330,6359,883250,0,0,841561,INR,PROCESSED,2026-07-17T23:12:23Z,REF-PAY_8AC1FD38
SET_EAB55EA2,MERCH_017,504900,10098,1817,0,504900,0,-11915,INR,PROCESSED,2026-07-29T20:36:00Z,REF-PAY_731678BD
SET_115A9E4C,MERCH_047,677800,13556,2440,0,0,0,661704,INR,PROCESSED,2026-08-12T00:19:37Z,REF-PAY_5E3CFA6F
SET_1D7B3ED8,MERCH_021,1005000,20100,3618,0,0,0,981282,INR,PROCESSED,2026-07-31T23:22:58Z,REF-PAY_1569D87F
SET_B030ECD9,MERCH_025,1628300,32566,5861,0,0,0,1589873,INR,PROCESSED,2026-08-08T09:12:01Z,REF-PAY_605A00C3
SET_2B176276,MERCH_037,285600,5712,1028,0,0,0,278860,INR,PROCESSED,2026-08-24T09:39:06Z,REF-PAY_F72B7D5A
SET_A613B1F5,MERCH_019,1391500,27830,5009,0,0,0,1358561,INR,PROCESSED,2026-07-05T09:53:12Z,REF-PAY_7F4F31C2
SET_3E2AE4CA,MERCH_026,1008600,20172,3630,0,0,0,946698,INR,PROCESSED,2026-08-18T16:55:19Z,REF-PAY_65BA6516
SET_719DA37E,MERCH_017,1303800,26076,4693,0,0,0,1273031,INR,PROCESSED,2026-07-21T08:33:12Z,REF-PAY_83AE05A6
SET_698592C0,MERCH_048,1266100,25322,4557,0,0,0,1236221,INR,PROCESSED,2026-08-07T06:47:01Z,REF-PAY_9F3E21A0
SET_AF9F8051,MERCH_019,30000000,600000,108000,0,0,0,29292000,INR,PROCESSED,2026-07-25T15:10:12Z,SETTLE-MERCH_019-HV
SET_DAD6BBD5,MERCH_049,284900,5698,1025,0,0,0,278177,INR,PROCESSED,2026-08-23T13:02:05Z,REF-PAY_59F239EC
SET_32FAE30E,MERCH_025,781800,15636,2814,0,0,0,763350,INR,PROCESSED,2026-08-13T15:33:52Z,REF-PAY_8C1FC9B5
SET_B5E7B3EE,MERCH_010,1773700,35474,6385,0,0,0,1731841,INR,PROCESSED,2026-08-02T14:26:05Z,REF-PAY_AB74B137
SET_EA3F97EE,MERCH_048,425500,8510,1531,0,425500,0,-10041,INR,PROCESSED,2026-07-03T09:21:07Z,REF-PAY_CFA71C92
SET_04AC6DEC,MERCH_017,269000,5380,968,134500,0,0,128152,INR,PROCESSED,2026-07-23T22:13:48Z,REF-PAY_512DAAF5
SET_44BB3F01,MERCH_033,1060900,21218,3819,0,0,0,1035763,INR,PROCESSED,2026-08-15T13:37:41Z,REF-PAY_951B552C
SET_95A0BEE3,MERCH_017,480700,9614,1730,0,0,0,469356,INR,PROCESSED,2026-08-27T21:35:59Z,REF-PAY_7DB0D480
SET_0102F524,MERCH_016,1186900,23738,4272,0,0,0,1158890,INR,PROCESSED,2026-09-03T17:30:23Z,REF-PAY_EE07161D
SET_F64BB082,MERCH_040,1077700,21554,3879,538850,0,0,513417,INR,PROCESSED,2026-07-13T02:02:30Z,REF-PAY_845F2801
SET_6DBF62F3,MERCH_047,1957600,39152,7047,0,0,0,1911401,INR,PROCESSED,2026-08-07T11:20:29Z,REF-PAY_E87E251A
SET_1E3ECFD6,MERCH_012,1215800,24316,4376,0,0,0,1187108,INR,PROCESSED,2026-07-14T15:33:51Z,REF-PAY_D3E8D5FF-TYPO
SET_7AE85427,MERCH_016,111100,2222,399,0,0,0,108479,INR,PROCESSED,2026-07-25T08:22:16Z,SETTLE-MERCH_016-BULK
SET_0D14A5C0,MERCH_011,306900,6138,1104,0,0,0,299658,INR,PROCESSED,2026-07-24T00:52:01Z,REF-PAY_B3B240DF
SET_1EC973E1,MERCH_040,1025300,20506,3691,0,0,0,1001103,INR,PROCESSED,2026-07-29T18:04:07Z,REF-PAY_012B2F21
SET_C2474503,MERCH_011,1833900,36678,6602,0,0,0,1790620,INR,PROCESSED,2026-08-05T06:37:27Z,REF-PAY_F6AAA636-TYPO
SET_B5E53F36,MERCH_026,512500,10250,1845,0,0,0,474605,INR,PROCESSED,2026-08-31T01:37:48Z,REF-PAY_FEB4C78A
SET_E27A7EDF,MERCH_015,1649400,32988,5937,824700,0,0,785775,INR,PROCESSED,2026-08-27T14:05:17Z,REF-PAY_93BAF51E
SET_7B85D6E8,MERCH_039,975700,19514,3512,0,0,0,952674,INR,PROCESSED,2026-08-29T17:16:32Z,SETTLE-MERCH_039-BULK
SET_329A102B,MERCH_032,128000,2560,460,0,0,0,124980,INR,PROCESSED,2026-08-13T04:42:38Z,REF-PAY_AA4E8624
SET_158F3112,MERCH_038,279800,5596,1007,139900,0,0,133297,INR,PROCESSED,2026-08-11T01:15:04Z,REF-PAY_F4EB2343
SET_BECE11BF,MERCH_018,1592300,31846,5732,0,0,0,1554722,INR,PROCESSED,2026-08-16T00:43:07Z,REF-PAY_9669422E
SET_A7F5B786,MERCH_005,1934100,38682,6962,0,0,0,1888456,INR,PROCESSED,2026-07-07T07:12:01Z,REF-PAY_ABE8395E
SET_1321EBB0,MERCH_008,289400,5788,1041,0,0,0,282571,INR,PROCESSED,2026-07-23T18:05:50Z,REF-PAY_571C10BC
SET_A3BCCAAE,MERCH_042,1851000,37020,6663,0,0,0,1807317,INR,PROCESSED,2026-07-15T08:14:50Z,REF-PAY_91866A5A
SET_557935C9,MERCH_004,955700,19114,3440,0,0,0,933146,INR,PROCESSED,2026-07-18T18:19:40Z,REF-PAY_6DE44FA2
SET_98CC217A,MERCH_007,361300,7226,1300,0,0,0,352774,INR,PROCESSED,2026-07-20T11:34:01Z,REF-PAY_5EA12F5E
SET_7239DA2C,MERCH_023,1434700,28694,5164,0,0,0,1400842,INR,PROCESSED,2026-07-08T13:24:18Z,REF-PAY_2DCF54B6
SET_50E274D9,MERCH_033,673600,13472,2424,0,0,0,657704,INR,PROCESSED,2026-08-11T01:51:24Z,SETTLE-MERCH_033-BULK
SET_9A1A8CF0,MERCH_043,42800,856,154,0,0,0,41790,INR,PROCESSED,2026-08-22T05:08:42Z,REF-PAY_F2C0B71B
SET_80B395C1,MERCH_035,1358400,27168,4890,0,0,0,1326242,INR,PROCESSED,2026-07-13T15:12:07Z,REF-PAY_B5CBFD8D
SET_746EE6AE,MERCH_012,1065000,21300,3834,0,0,0,992366,INR,PROCESSED,2026-09-03T17:31:21Z,REF-PAY_005F1AB3
SET_2B7D21C7,MERCH_043,975100,19502,3510,0,0,0,952088,INR,PROCESSED,2026-07-28T11:15:41Z,REF-PAY_7028FAC1
SET_96E540A8,MERCH_034,953300,19066,3431,0,0,0,930803,INR,PROCESSED,2026-07-18T11:41:27Z,REF-PAY_210A3291
SET_35B3DB28,MERCH_007,738200,14764,2657,0,0,0,720779,INR,PROCESSED,2026-08-10T00:47:43Z,SETTLE-MERCH_007-BULK
SET_C27CDF45,MERCH_008,1666700,33334,6000,0,0,0,1627366,INR,PROCESSED,2026-08-22T10:14:22Z,REF-PAY_87EA6A76
SET_FD081A99,MERCH_042,851100,17022,3063,0,0,0,831015,INR,PROCESSED,2026-08-02T22:08:44Z,REF-PAY_B3BA1850
SET_60FAA38E,MERCH_002,989700,19794,3562,0,0,0,966344,INR,PROCESSED,2026-07-14T06:49:17Z,REF-PAY_03EF2E4C
SET_65BD8148,MERCH_001,1755800,35116,6320,877900,0,0,836464,INR,PROCESSED,2026-08-02T05:06:17Z,REF-PAY_C7B1C286
SET_8D33BF97,MERCH_027,1497800,29956,5392,0,0,0,1462452,INR,PROCESSED,2026-07-11T04:30:24Z,REF-PAY_2CD4C6F0
SET_D708C119,MERCH_026,1098600,21972,3954,0,0,0,1072674,INR,PROCESSED,2026-08-09T14:21:28Z,REF-PAY_970DEDCF
SET_8326E710,MERCH_035,615000,12300,2214,0,0,0,600386,INR,PROCESSED,2026-08-02T15:07:58Z,REF-PAY_27894EF1
SET_14375653,MERCH_003,224500,4490,808,0,0,0,219202,INR,PROCESSED,2026-07-18T06:26:55Z,REF-PAY_31DBD9BE
SET_454CDD64,MERCH_016,889600,17792,3202,0,0,0,868656,INR,PROCESSED,2026-07-17T02:47:54Z,REF-PAY_C3B0DC64
SET_46D9F7F6,MERCH_018,1697000,33940,6109,848500,0,0,808451,INR,PROCESSED,2026-07-13T16:32:34Z,REF-PAY_3A4D4E05
SET_59A9503C,MERCH_016,1997300,39946,7190,0,0,0,1950164,INR,PROCESSED,2026-08-03T11:34:21Z,REF-PAY_CBF78245
SET_CEDF2EBC,MERCH_032,1910600,38212,6878,0,0,0,1865510,INR,PROCESSED,2026-08-19T08:48:59Z,REF-PAY_6B4B15E2
SET_B4F86986,MERCH_012,1435700,28714,5168,0,0,0,1401818,INR,PROCESSED,2026-08-04T01:36:17Z,REF-PAY_16118BF3
SET_41A6CC54,MERCH_013,1833900,36678,6602,0,0,0,1790620,INR,PROCESSED,2026-07-15T00:15:25Z,REF-PAY_DC282B8A
SET_4A694678,MERCH_030,170300,3406,613,0,0,0,166281,INR,PROCESSED,2026-07-07T14:01:18Z,REF-PAY_375B3E28
SET_679208BC,MERCH_035,471200,9424,1696,0,0,0,459980,INR,PROCESSED,2026-07-18T10:56:37Z,REF-PAY_09B6DDD9
SET_374AAD1A,MERCH_048,1693900,33878,6098,0,0,0,1653924,INR,PROCESSED,2026-08-24T11:51:43Z,REF-PAY_259946B1
SET_DDE92D77,MERCH_028,83800,1676,301,41900,0,0,39923,INR,PROCESSED,2026-07-07T03:29:14Z,REF-PAY_80D4729E
SET_824CD0E8,MERCH_008,1521800,30436,5478,760900,0,0,724986,INR,PROCESSED,2026-07-29T21:51:39Z,REF-PAY_47A8B830
SET_E2999DB6,MERCH_027,57400,1148,206,0,0,0,56046,INR,PROCESSED,2026-08-11T08:52:58Z,REF-PAY_F0C2FCAF
SET_2E292EAA,MERCH_043,88200,1764,317,0,0,0,86119,INR,PROCESSED,2026-08-16T02:44:33Z,REF-PAY_EC5B442E
SET_29DE2EB0,MERCH_009,543200,10864,1955,0,0,0,530381,INR,PROCESSED,2026-07-21T08:15:12Z,REF-PAY_5126EA68-TYPO
SET_3295A7CB,MERCH_031,30000000,600000,108000,0,0,0,29292000,INR,PROCESSED,2026-07-28T18:24:02Z,SETTLE-MERCH_031-HV
SET_2B52E3BA,MERCH_010,1611800,32236,5802,0,0,0,1573762,INR,PROCESSED,2026-08-29T02:57:18Z,REF-PAY_06C9A682
SET_CFB77330,MERCH_017,488200,9764,1757,0,0,0,476679,INR,PROCESSED,2026-08-17T04:11:16Z,REF-PAY_9FDE5C38
SET_A860AD61,MERCH_003,1157100,23142,4165,0,0,0,1129793,INR,PROCESSED,2026-08-06T03:06:16Z,REF-PAY_237DD0EE
SET_CF20815F,MERCH_040,1173900,23478,4226,0,0,0,1146196,INR,PROCESSED,2026-07-17T01:33:24Z,REF-PAY_D45F0CA9
SET_4806EDC3,MERCH_040,557000,11140,2005,0,0,0,543855,INR,PROCESSED,2026-08-29T07:37:47Z,REF-PAY_86BFD7E4
SET_1322C86B,MERCH_017,1449800,28996,5219,0,1449800,0,-34215,INR,PROCESSED,2026-08-22T02:03:20Z,REF-PAY_521C40EF
SET_4F9DDD33,MERCH_024,624300,12486,2247,0,0,0,609567,INR,PROCESSED,2026-08-01T23:56:49Z,REF-PAY_900C3EC6
SET_14D2D2E7,MERCH_022,1551800,31036,5586,0,0,0,1515178,INR,PROCESSED,2026-08-25T11:18:21Z,REF-PAY_27CA04F2
SET_1618B7C8,MERCH_029,30000000,600000,108000,0,0,0,29292000,INR,PROCESSED,2026-07-08T16:19:34Z,SETTLE-MERCH_029-HV
SET_DF122403,MERCH_044,645500,12910,2323,0,0,0,630267,INR,PROCESSED,2026-08-28T17:28:00Z,REF-PAY_A4A9DE16
SET_C775EC62,MERCH_037,30000000,600000,108000,0,0,0,29292000,INR,PROCESSED,2026-07-12T22:10:48Z,SETTLE-MERCH_037-HV
SET_C6FC1624,MERCH_045,1171000,23420,4215,0,0,0,1143365,INR,PROCESSED,2026-07-14T04:49:53Z,REF-PAY_98D72297
SET_81E01358,MERCH_016,902000,18040,3247,0,0,0,880713,INR,PROCESSED,2026-07-09T05:22:12Z,REF-PAY_57A4DEE9
SET_1BCBEB1F,MERCH_041,15000000,300000,54000,0,0,0,14646000,INR,PROCESSED,2026-09-03T00:07:12Z,SETTLE-MERCH_041-HV
SET_A2ABC452,MERCH_028,1034400,20688,3723,0,0,0,1009989,INR,PROCESSED,2026-08-23T08:30:22Z,REF-PAY_9313ADFC
SET_8EC2F5DD,MERCH_032,516100,10322,1857,0,0,0,503821,INR,PROCESSED,2026-07-06T13:06:40Z,REF-PAY_78965C4F
SET_30AA6C57,MERCH_023,5500000,110000,19800,0,0,0,5370200,INR,PROCESSED,2026-07-14T23:27:54Z,SETTLE-MERCH_023-HV
SET_22B70AFB,MERCH_011,933700,18674,3361,0,0,0,911665,INR,PROCESSED,2026-08-29T10:58:12Z,REF-PAY_2BDCE56A
SET_422A9C1C,MERCH_018,1978500,39570,7122,0,0,0,1931808,INR,PROCESSED,2026-08-28T17:15:08Z,REF-PAY_6985C443
SET_65A459D1,MERCH_044,1206800,24136,4344,0,0,0,1178220,INR,PROCESSED,2026-08-31T05:56:08Z,REF-PAY_EAE9FD23
SET_27C51805,MERCH_042,1952900,39058,7030,0,0,0,1906812,INR,PROCESSED,2026-08-28T09:54:57Z,REF-PAY_A2BA5166
SET_6D74C44B,MERCH_045,748600,14972,2694,0,0,0,730934,INR,PROCESSED,2026-09-01T14:17:19Z,REF-PAY_B54FD1FA-TYPO
SET_AF7347C1,MERCH_018,512600,10252,1845,0,0,0,500503,INR,PROCESSED,2026-07-24T13:55:34Z,REF-PAY_7818B4FA
SET_ABDFDC82,MERCH_005,485600,9712,1748,242800,0,0,231340,INR,PROCESSED,2026-09-03T09:39:14Z,REF-PAY_86B1422F
SET_6BE15C47,MERCH_028,966300,19326,3478,0,0,0,943496,INR,PROCESSED,2026-08-21T21:31:58Z,REF-PAY_0A095F5C
SET_C8958A97,MERCH_028,1688500,33770,6078,0,0,0,1648552,INR,PROCESSED,2026-08-28T04:25:49Z,REF-PAY_34B28C87
SET_D97D9CA7,MERCH_007,411200,8224,1480,0,0,0,401496,INR,PROCESSED,2026-08-06T00:27:35Z,REF-PAY_6232BAA5
SET_13A4A85B,MERCH_032,278400,5568,1002,0,0,0,271830,INR,PROCESSED,2026-07-17T06:19:46Z,REF-PAY_3428FA34
SET_55955AF5,MERCH_044,193100,3862,695,0,0,0,158543,INR,PROCESSED,2026-08-16T18:38:01Z,REF-PAY_4368F2FB
SET_DBD90E06,MERCH_011,1478000,29560,5320,0,0,0,1443120,INR,PROCESSED,2026-07-31T21:05:48Z,REF-PAY_49C3B406
SET_8247A7FD,MERCH_037,301300,6026,1084,0,0,0,294190,INR,PROCESSED,2026-08-13T17:26:25Z,REF-PAY_8DEE962C
SET_71F85446,MERCH_039,477800,9556,1720,0,0,0,466524,INR,PROCESSED,2026-08-05T06:06:15Z,REF-PAY_30663AEB
SET_C00B3246,MERCH_029,686400,13728,2471,0,0,0,670201,INR,PROCESSED,2026-08-26T18:04:16Z,REF-PAY_B51EA5CB
SET_245EEA1C,MERCH_049,208300,4166,749,0,0,0,203385,INR,PROCESSED,2026-07-22T16:24:27Z,REF-PAY_523E32C0
SET_5D4FBF9B,MERCH_043,574600,11492,2068,0,0,0,521740,INR,PROCESSED,2026-08-20T19:56:11Z,REF-PAY_460976CE
SET_F1920C89,MERCH_021,1513300,30266,5447,0,0,0,1477587,INR,PROCESSED,2026-08-06T17:11:50Z,REF-PAY_F47D7049
SET_5DBFFFEF,MERCH_026,850700,17014,3062,0,0,0,830624,INR,PROCESSED,2026-07-04T10:07:43Z,REF-PAY_17B502FE
SET_E2249275,MERCH_012,691700,13834,2490,0,0,0,642176,INR,PROCESSED,2026-07-03T03:37:46Z,REF-PAY_F6BEBDAA
SET_FE17AAE5,MERCH_031,1744100,34882,6278,0,0,0,1702940,INR,PROCESSED,2026-08-15T09:12:33Z,REF-PAY_1414A4C7-TYPO
SET_8001A60E,MERCH_028,1680800,33616,6050,0,0,0,1641034,INR,PROCESSED,2026-07-05T17:38:55Z,REF-PAY_2A165BDC
SET_2D6DB4F5,MERCH_018,1172400,23448,4220,0,0,0,1144632,INR,PROCESSED,2026-07-20T12:45:37Z,REF-PAY_F658B058
SET_71EE878E,MERCH_036,36700,734,132,0,0,0,35834,INR,PROCESSED,2026-08-07T03:03:27Z,SETTLE-MERCH_036-BULK
SET_B40AB433,MERCH_048,895100,17902,3222,0,0,0,873976,INR,PROCESSED,2026-08-06T15:50:58Z,REF-PAY_D56A0532
SET_DCF42B4E,MERCH_015,1954200,39084,7035,0,0,0,1908081,INR,PROCESSED,2026-07-12T22:49:49Z,REF-PAY_EE3513BF
SET_D1B71249,MERCH_003,1757900,35158,6328,0,0,0,1716414,INR,PROCESSED,2026-08-09T19:26:09Z,REF-PAY_6791816B
SET_BE92E3F3,MERCH_046,15000000,300000,54000,0,0,0,14646000,INR,PROCESSED,2026-07-19T20:18:59Z,SETTLE-MERCH_046-HV
