chargeback_id,payment_id,amount,currency,created_at
CHB_B7E48A22,PAY_E4CE50C7,1155300,INR,2026-08-25T02:58:54Z
CHB_FAB36FC6,PAY_616B06FC,79300,INR,2026-08-01T16:46:20Z
CHB_02ADE1CC,PAY_85762D36,1486400,INR,2026-07-22T11:43:50Z
CHB_04E81F29,PAY_E30896C7,842700,INR,2026-08-14T10:08:10Z
CHB_09579D52,PAY_2AE3B684,1597600,INR,2026-08-08T00:00:37Z
CHB_0632594B,PAY_5909CE57,24300,INR,2026-08-25T04:41:40Z
CHB_87CE17D6,PAY_F65FCF42,668200,INR,2026-08-16T11:38:20Z
CHB_DF1B4385,PAY_4F46C66F,1368000,INR,2026-07-07T09:43:03Z
CHB_03D0CE06,PAY_184B9F01,1012600,INR,2026-08-10T12:58:55Z
CHB_ED7982B7,PAY_B6B89C0E,675900,INR,2026-07-25T14:45:00Z
CHB_C2A7C746,PAY_BEC9E136,629100,INR,2026-07-14T16:00:14Z
CHB_892741A3,PAY_CB0FF026,767000,INR,2026-07-18T11:47:32Z
CHB_F5CFD79C,PAY_E54060C0,837900,INR,2026-08-24T22:23:41Z
CHB_9ACFF1C1,PAY_F3710EAC,447000,INR,2026-08-16T04:28:58Z
CHB_C0E7A181,PAY_27681C9F,1054800,INR,2026-07-07T13:18:44Z
CHB_48608735,PAY_D921DDB8,563500,INR,2026-08-18T15:08:03Z
CHB_479E356D,PAY_E761BF30,1286300,INR,2026-09-01T10:56:16Z
CHB_48322BCD,PAY_74132967,1717700,INR,2026-07-22T16:55:42Z
CHB_A3E69FE8,PAY_102E07FC,783500,INR,2026-08-31T20:57:53Z
CHB_FFCF2C4F,PAY_3589C54A,1275200,INR,2026-07-10T19:34:58Z
CHB_95CAF546,PAY_DA4C34D7,164900,INR,2026-08-26T14:02:53Z
CHB_9EE4637C,PAY_C403B2D7,1478600,INR,2026-07-22T14:04:40Z
CHB_4CD6FCCD,PAY_9D200047,1657900,INR,2026-07-13T12:54:55Z
CHB_54254652,PAY_DD5531F6,245200,INR,2026-08-14T07:01:20Z
CHB_DDB27E9A,PAY_7CE7487E,1265000,INR,2026-07-31T09:17:37Z
CHB_74EE0B3A,PAY_C67F88D2,622200,INR,2026-07-12T11:03:13Z
CHB_607AA065,PAY_54088E32,647400,INR,2026-08-06T13:03:10Z
CHB_78D0ACC5,PAY_B773FA67,1514400,INR,2026-07-12T19:11:31Z
CHB_228F97F8,PAY_544FA466,551900,INR,2026-08-05T03:26:44Z
CHB_23B26C62,PAY_C30DA1F4,1653000,INR,2026-07-07T15:53:16Z
CHB_C1894037,PAY_ED1BA9F5,1529800,INR,2026-07-23T14:40:50Z
CHB_92733C95,PAY_91EA62A9,1266200,INR,2026-07-25T07:45:49Z
CHB_C04C26EB,PAY_A5A3880B,1468600,INR,2026-08-11T00:50:42Z
CHB_04B82612,PAY_4605B0B3,1288400,INR,2026-07-03T13:29:45Z
CHB_0E8192C7,PAY_64A3AA71,320200,INR,2026-07-08T17:22:18Z
CHB_BF82DAEC,PAY_BF4CA1E6,296000,INR,2026-08-18T11:34:17Z
CHB_351363EC,PAY_B70FD651,144900,INR,2026-07-11T08:28:41Z
CHB_1EFA6738,PAY_C9995DE2,1162400,INR,2026-07-07T13:10:11Z
CHB_5A88633B,PAY_E5DF9D25,1075800,INR,2026-07-23T10:18:21Z
CHB_93EA4539,PAY_B4D374C6,94600,INR,2026-08-31T15:48:04Z
CHB_45782B0C,PAY_36D3D155,1295800,INR,2026-08-19T01:11:05Z
CHB_E6A43B4F,PAY_CA43DEE2,1761700,INR,2026-07-29T03:55:20Z
CHB_0DB3A1AF,PAY_338A3BFB,1149700,INR,2026-07-21T10:46:33Z
CHB_33CB43BC,PAY_61024C0E,582100,INR,2026-07-15T06:42:05Z
CHB_134BC7AD,PAY_FF3F3A34,164000,INR,2026-08-20T05:18:26Z
CHB_105D99EF,PAY_B3C82DD0,1732100,INR,2026-07-04T13:42:58Z
CHB_C4AA300E,PAY_A589C10D,860000,INR,2026-08-15T15:49:30Z
CHB_3E08E4E3,PAY_D72B5884,170400,INR,2026-08-15T03:58:50Z
CHB_C2FA0645,PAY_F3E7510F,435400,INR,2026-08-13T15:42:11Z
CHB_A8B25B28,PAY_FE059661,1955300,INR,2026-07-29T20:49:33Z
CHB_BF9EDE1D,PAY_D4D4BCE5,1158900,INR,2026-08-18T15:14:39Z
CHB_2CB9449D,PAY_644C544E,1490800,INR,2026-07-12T03:55:38Z
CHB_11B2E66E,PAY_1523A17C,1799700,INR,2026-07-13T19:04:42Z
CHB_7E11CC81,PAY_495C2B5C,644100,INR,2026-08-08T08:24:48Z
CHB_F7F8F6A2,PAY_702AF257,1177400,INR,2026-08-20T03:37:29Z
CHB_61CFDB30,PAY_269A9866,41200,INR,2026-07-09T00:46:31Z
CHB_97090286,PAY_0CAFB863,945300,INR,2026-08-04T18:48:39Z
CHB_F87D1145,PAY_E84FD346,880600,INR,2026-08-05T05:20:16Z
CHB_FB0A1F83,PAY_CC60AE8B,279700,INR,2026-08-14T07:26:32Z
CHB_9B4D4377,PAY_235B9A3B,666000,INR,2026-07-12T00:30:18Z
CHB_DF62FCEA,PAY_92CBE63E,1591600,INR,2026-08-16T07:53:52Z
CHB_67AD969D,PAY_ED4EF117,1079000,INR,2026-08-16T06:31:08Z
CHB_F63C14E2,PAY_D22CBB5C,1495900,INR,2026-08-27T22:35:13Z
CHB_D62F17D0,PAY_8408A93F,42600,INR,2026-07-26T02:55:37Z
CHB_71D6E0C6,PAY_1266D026,955800,INR,2026-08-14T06:11:54Z
CHB_23F9D303,PAY_FE518183,1904000,INR,2026-08-25T08:18:30Z
CHB_957E46E6,PAY_E89059EF,1006500,INR,2026-08-14T13:50:52Z
CHB_70DBB61F,PAY_A13B1CB0,1304600,INR,2026-08-23T19:43:43Z
CHB_FD3DF669,PAY_CE0340C6,516800,INR,2026-07-30T07:32:59Z
CHB_86BE65AD,PAY_0748DC66,1549100,INR,2026-07-26T11:48:54Z
CHB_032EC99B,PAY_B9531540,134000,INR,2026-07-10T23:40:59Z
CHB_E98B80FB,PAY_2FFE0D10,217800,INR,2026-07-29T19:38:36Z
CHB_A32974BE,PAY_0DA4AB7F,363600,INR,2026-08-01T04:52:29Z
CHB_C0FCFE0E,PAY_4E85E15F,1358200,INR,2026-07-28T22:16:47Z
CHB_E79BDEA0,PAY_5F79AA19,1360300,INR,2026-08-02T13:35:25Z
CHB_E8F45B85,PAY_4C16391C,797600,INR,2026-07-27T23:10:13Z
CHB_1DECC25E,PAY_8D1AD0F5,1424200,INR,2026-07-10T12:22:45Z
CHB_731FFB77,PAY_BABF7924,1462200,INR,2026-07-28T01:06:59Z
CHB_52DCB09E,PAY_EE8BFA87,1866500,INR,2026-08-19T04:54:13Z
CHB_C9277DE5,PAY_6DCE90C8,1412100,INR,2026-08-06T20:49:49Z
CHB_FDE6A590,PAY_B5026376,908900,INR,2026-08-23T04:59:42Z
CHB_4395C459,PAY_75636BE3,1628100,INR,2026-07-27T01:09:50Z
CHB_4295D435,PAY_82DB19A5,1855200,INR,2026-08-23T23:18:31Z
CHB_0BC3DEA0,PAY_6BA5B14E,441300,INR,2026-07-06T22:29:07Z
CHB_79AA52DA,PAY_75C6187E,1194100,INR,2026-08-06T20:16:32Z
CHB_2C88BDBC,PAY_FB9CF4C0,305000,INR,2026-08-11T05:16:27Z
CHB_3ACE81CB,PAY_520E9889,426400,INR,2026-07-03T20:09:59Z
CHB_ED97E8E1,PAY_1E0A8656,458400,INR,2026-08-31T21:14:36Z
CHB_8A6494E4,PAY_61DADBC0,252400,INR,2026-08-09T21:27:39Z
CHB_3153FEED,PAY_2777349D,1544000,INR,2026-07-08T00:09:35Z
CHB_08B28633,PAY_86EA5A63,1319600,INR,2026-08-25T22:01:15Z
CHB_B7BFC6F3,PAY_F7ED5EF0,885100,INR,2026-08-15T20:29:14Z
CHB_AFA4E18B,PAY_DEB1CB81,1143600,INR,2026-08-12T15:49:20Z
CHB_B3909716,PAY_882589B1,1753400,INR,2026-09-02T12:42:06Z
CHB_50A86D7C,PAY_6AD8A438,1248000,INR,2026-07-05T00:36:43Z
CHB_99FB1E07,PAY_AB1F402A,1722900,INR,2026-07-04T20:00:12Z
CHB_18EDA3F5,PAY_02C95EA1,817400,INR,2026-07-29T13:31:18Z
CHB_0A72CEBD,PAY_EA0B6D08,873600,INR,2026-08-08T13:34:50Z
CHB_600DE6A5,PAY_FDF2E548,47000,INR,2026-07-15T00:03:56Z
CHB_C0B9EF7C,PAY_4980F05E,125600,INR,2026-08-23T06:09:56Z
CHB_6A69ABF7,PAY_0ABF5D0B,1723700,INR,2026-07-08T13:56:32Z
CHB_EEEBA8D2,PAY_C40CC4B7,1872700,INR,2026-08-11T01:02:00Z
CHB_276B29DA,PAY_B14F212F,373200,INR,2026-08-27T11:22:18Z
CHB_C24B15E1,PAY_3FF4A80F,326500,INR,2026-08-07T08:00:18Z
CHB_7DB1E841,PAY_ED86FE5E,1268700,INR,2026-07-04T02:33:46Z
CHB_73AB97A7,PAY_33808748,264000,INR,2026-07-31T13:59:05Z
CHB_9680337C,PAY_777E8347,970500,INR,2026-08-16T00:00:36Z
CHB_D3E0C747,PAY_B3A22A3C,527600,INR,2026-07-14T10:32:41Z
CHB_FE07C3A2,PAY_6534E6E2,235500,INR,2026-07-19T22:28:28Z
CHB_F92107F0,PAY_78B703DB,536900,INR,2026-07-30T07:23:20Z
CHB_39E1C1E6,PAY_13241003,1610500,INR,2026-07-18T08:29:38Z
CHB_647668C5,PAY_12463A05,1440900,INR,2026-07-16T10:49:54Z
CHB_1F3D5AA7,PAY_7368DA5B,1834900,INR,2026-08-17T13:58:01Z
CHB_6EC11DD7,PAY_593FD26A,1770200,INR,2026-07-02T15:45:49Z
CHB_D0FB934A,PAY_D39315E3,1515100,INR,2026-07-13T18:18:00Z
CHB_FD740BA5,PAY_E7890543,272100,INR,2026-07-24T09:32:06Z
CHB_AC73ABB6,PAY_42E4C253,1235700,INR,2026-08-18T20:53:02Z
CHB_147F4331,PAY_A7595907,878500,INR,2026-08-27T13:44:43Z
CHB_D1946638,PAY_599828DF,389600,INR,2026-08-25T21:12:02Z
CHB_EA8BDB3E,PAY_B3BD60DA,305900,INR,2026-07-23T21:00:05Z
CHB_6A062424,PAY_5E1762D2,500300,INR,2026-07-24T10:01:10Z
CHB_63E7AE8A,PAY_C7843A2B,1074600,INR,2026-07-06T17:03:49Z
CHB_3A491A76,PAY_F5D628CD,929900,INR,2026-07-08T18:20:57Z
CHB_3A5D801D,PAY_313DABAD,214900,INR,2026-08-13T21:50:53Z
CHB_0C84CBCB,PAY_67EAADC2,254500,INR,2026-08-22T07:25:48Z
CHB_AEDDFD4F,PAY_D96E697C,26200,INR,2026-08-18T21:11:10Z
CHB_9EB28F1F,PAY_C4D5537A,1191700,INR,2026-07-14T22:21:27Z
CHB_608138E3,PAY_0DD412DE,909700,INR,2026-08-02T18:33:04Z
CHB_638B397D,PAY_6CE10A68,1210200,INR,2026-07-17T13:45:03Z
CHB_71B6636A,PAY_65E74D56,543600,INR,2026-07-05T23:21:01Z
CHB_A14F6B26,PAY_424848DA,61200,INR,2026-08-31T13:08:23Z
CHB_A7B77EB4,PAY_9B1221DB,1968700,INR,2026-08-25T07:08:45Z
CHB_AB47AEC9,PAY_9D9B17BF,1246800,INR,2026-07-12T04:06:07Z
CHB_8B07C668,PAY_EF93C9F0,587200,INR,2026-07-06T13:57:01Z
CHB_D181DEA2,PAY_F5555C61,1701800,INR,2026-08-25T17:47:56Z
CHB_548CBE64,PAY_2EE39A38,1028600,INR,2026-07-19T12:31:05Z
CHB_E2109ED6,PAY_D3C593F2,898400,INR,2026-07-23T02:43:07Z
CHB_D5ABA4A7,PAY_304A5E11,1194600,INR,2026-08-05T11:13:11Z
CHB_96253540,PAY_B76A196F,1901100,INR,2026-08-22T00:21:57Z
CHB_CA4D92D0,PAY_C21A6FDD,370200,INR,2026-07-13T18:12:38Z
CHB_D568CF36,PAY_B16E5DB1,1465600,INR,2026-08-17T23:08:45Z
CHB_1114FA5C,PAY_16633499,10500,INR,2026-08-05T12:00:06Z
CHB_22780144,PAY_4FC36636,1016900,INR,2026-07-15T01:11:29Z
CHB_E72C9F5C,PAY_71D19C02,173600,INR,2026-07-15T21:08:15Z
CHB_FED90856,PAY_C04182E3,356900,INR,2026-07-04T02:02:58Z
CHB_B2F90192,PAY_E2580AD2,210300,INR,2026-08-03T00:55:14Z
CHB_C18E868B,PAY_A1D944C4,1711600,INR,2026-07-28T14:14:06Z
CHB_52BF56CF,PAY_DAC06330,301500,INR,2026-08-25T20:44:27Z
CHB_B4547AF5,PAY_D0AB6A1A,608700,INR,2026-08-26T02:35:45Z
CHB_321D5052,PAY_00CB4DB7,24400,INR,2026-08-30T21:17:49Z
CHB_B756B93E,PAY_95E7AA08,1522200,INR,2026-07-27T16:17:47Z
CHB_A4EF7EFD,PAY_7F79DF66,423400,INR,2026-08-22T14:56:45Z
CHB_16CC717A,PAY_8049C24A,550100,INR,2026-07-24T02:43:18Z
CHB_8522A123,PAY_F88D0E27,1629200,INR,2026-08-19T21:54:08Z
CHB_1244B06C,PAY_B6260009,1757500,INR,2026-07-12T12:11:35Z
CHB_65570C04,PAY_392A4654,130800,INR,2026-07-23T21:17:48Z
CHB_462B9473,PAY_0A168297,54700,INR,2026-07-31T02:03:51Z
CHB_698D5C29,PAY_5CDB94EA,1892600,INR,2026-07-24T22:47:10Z
CHB_22469613,PAY_24A434C5,294800,INR,2026-07-24T21:06:18Z
CHB_004698CD,PAY_153DC3F7,352900,INR,2026-08-19T03:21:40Z
CHB_10BC179A,PAY_8B7E68E2,371600,INR,2026-08-16T05:45:40Z
CHB_0FCB70A0,PAY_600F9A34,396400,INR,2026-07-16T03:28:50Z
CHB_6C6F6637,PAY_50129DA4,1707200,INR,2026-07-29T22:52:36Z
CHB_1AB0D03E,PAY_D5939A88,1128000,INR,2026-07-03T18:25:32Z
CHB_EFE56347,PAY_0ABE5F3B,1585500,INR,2026-08-01T21:06:47Z
CHB_A4EC3122,PAY_E608F7BC,1511500,INR,2026-08-02T11:04:53Z
CHB_6329B6AD,PAY_F0621320,1789400,INR,2026-08-05T01:37:43Z
CHB_506ABD16,PAY_685C5156,657300,INR,2026-08-28T20:01:32Z
CHB_EA8C745C,PAY_88A4A00D,654200,INR,2026-07-24T02:26:35Z
CHB_D7A45809,PAY_D0631190,915000,INR,2026-08-20T23:45:17Z
CHB_0ECEE722,PAY_CAFCE795,1529100,INR,2026-08-16T03:30:33Z
CHB_A9EAAE1A,PAY_7B89A30C,1965200,INR,2026-08-11T23:44:15Z
CHB_62EBE23E,PAY_0D1B45D5,1630600,INR,2026-08-15T21:02:23Z
CHB_932818F0,PAY_CCE5EF7A,1034500,INR,2026-08-28T08:05:06Z
CHB_E97D12C3,PAY_E294BE0D,1129100,INR,2026-07-20T01:12:40Z
CHB_7C51A51C,PAY_3ED888C6,521400,INR,2026-07-17T18:41:11Z
CHB_D4D35028,PAY_0CC493E6,779700,INR,2026-08-23T21:41:04Z
CHB_C9191A6D,PAY_4F568CBC,1150300,INR,2026-07-22T17:00:24Z
CHB_517CE7E0,PAY_2032B759,1005200,INR,2026-07-17T09:59:16Z
CHB_BFDFACBC,PAY_7513EE7F,1457200,INR,2026-08-15T01:56:53Z
CHB_C6844F23,PAY_16773898,1155300,INR,2026-08-01T05:43:21Z
CHB_31BBDBF8,PAY_DA625D08,1843100,INR,2026-07-15T02:11:15Z
CHB_6622872D,PAY_F6B934FE,159800,INR,2026-08-31T05:24:49Z
CHB_90CFFB40,PAY_B114900E,1087000,INR,2026-08-03T13:48:30Z
CHB_0E8F887D,PAY_AD7C9E71,1188500,INR,2026-07-09T01:00:30Z
CHB_2CE70A1F,PAY_65F29B7F,1640800,INR,2026-07-24T10:34:20Z
CHB_19F6B48F,PAY_EA947730,1737600,INR,2026-08-16T21:44:52Z
CHB_31E43054,PAY_535A18EE,237000,INR,2026-07-28T23:39:14Z
CHB_E1C013E2,PAY_AD122936,901200,INR,2026-08-08T02:35:29Z
CHB_181F2B30,PAY_61ECA3E5,1671300,INR,2026-07-29T18:33:26Z
CHB_FB4C21A7,PAY_BC4EA215,1300300,INR,2026-09-01T03:50:51Z
CHB_1283BFCC,PAY_56BB5185,1186300,INR,2026-07-16T11:57:01Z
CHB_201F4545,PAY_87727A5F,912600,INR,2026-08-10T06:38:56Z
CHB_5989AA33,PAY_A38695DC,400600,INR,2026-08-29T02:52:09Z
CHB_50063862,PAY_710BB631,571700,INR,2026-08-11T18:35:13Z
CHB_C0832D1C,PAY_E13C8EC2,162900,INR,2026-08-10T16:41:30Z
CHB_E989B5B3,PAY_7A9FEFC6,416500,INR,2026-08-24T06:14:42Z
CHB_369EB041,PAY_547CBB6D,1816800,INR,2026-08-16T05:09:54Z
CHB_108967B6,PAY_E308FE3C,661400,INR,2026-08-27T22:30:46Z
CHB_6E00DAAB,PAY_4E61C16E,959500,INR,2026-08-14T22:57:47Z
CHB_1B9BBDFD,PAY_0DB49162,481800,INR,2026-07-18T15:22:06Z
