case_id,payment_id,settlement_id,bank_txn_id,anomaly_type,expected_decision,expected_settlement,actual_settlement
CASE_00080,PAY_7110850D,SET_00D75B99,BNK_103897A6,FEE_VARIANCE,EXCEPTION,1358661,1358561
CASE_00081,PAY_63B35590,SET_47AE87A0,BNK_B46AB0E2,UNEXPLAINED_DELTA,EXCEPTION,984798,946698
CASE_00082,PAY_173B941D,,,MISSING_SETTLEMENT,EXCEPTION,1523282,1523282
CASE_00083,PAY_4E63D30E,SET_08226117,BNK_14DD8D1F,CLEAN,MATCHED,1273031,1273031
CASE_00084,PAY_E223526F,SET_41E98316,BNK_6A7749F0,CLEAN,MATCHED,1236221,1236221
CASE_00085,PAY_D1CD2E2B,SET_E9046B72,BNK_305A4F5F,HIGH_VALUE_ANOMALY,REVIEW,29292000,29292000
CASE_00086,PAY_75FAA7FE,SET_F4592E82,BNK_573D3094,CLEAN,MATCHED,278177,278177
CASE_00087,PAY_C0723523,SET_B1FAAC9C,BNK_9764A46E,DUPLICATE,REVIEW,763350,763350
CASE_00088,PAY_19AB45AB,SET_3426F731,BNK_CAAD4894,CLEAN,MATCHED,1731841,1731841
CASE_00089,PAY_FBB84A87,SET_3F45D963,BNK_8EB71982,CHARGEBACK,MATCHED,-10041,-10041
CASE_00090,PAY_8A813BE2,SET_9D377CE2,BNK_BDE5BBC3,REFUND,MATCHED,128152,128152
CASE_00091,PAY_EFE5E2EC,SET_227CF24E,BNK_F2A9AB1A,FEE_VARIANCE,EXCEPTION,1035863,1035763
CASE_00092,PAY_A179666E,SET_306785A8,BNK_AFA8363F,CLEAN,MATCHED,469356,469356
CASE_00093,PAY_AAC844B6,SET_984E40B8,BNK_4A9EDC3F,ONE_TO_MANY,MATCHED,1158890,1158890
CASE_00094,PAY_E2D75D51,SET_0E1746A6,BNK_B0BD83B5,REFUND,MATCHED,513417,513417
CASE_00095,PAY_634EF8EB,SET_8E691C81,BNK_02B81B76,CLEAN,MATCHED,1911401,1911401
CASE_00096,PAY_C49CBCDF,SET_30E7A96B,BNK_8E42A79D,REFERENCE_TYPO,MATCHED,1187108,1187108
CASE_00097,PAY_2A65D66C,SET_23936943,BNK_72C69E53,AMBIGUOUS,REVIEW,108479,108479
CASE_00098,PAY_E757B143,SET_60DA3945,BNK_2351E02C,CLEAN,MATCHED,299658,299658
CASE_00099,PAY_915703D5,SET_A9857889,BNK_CB2F253D,CLEAN,MATCHED,1001103,1001103
CASE_00100,PAY_EF2AFC31,SET_77E649E4,BNK_6E8F0AEF,REFERENCE_TYPO,MATCHED,1790620,1790620
CASE_00101,PAY_931C265E,SET_1CD734FE,BNK_9C2CE702,UNEXPLAINED_DELTA,EXCEPTION,500405,474605
CASE_00102,PAY_163DFBCE,SET_A993A8E2,BNK_06603FB2,REFUND,MATCHED,785775,785775
CASE_00103,PAY_027E6ACA,SET_561F2233,BNK_B0F51259,AMBIGUOUS,REVIEW,952674,952674
CASE_00104,PAY_1014A65A,SET_C8463B7B,BNK_10161DAB,ONE_TO_MANY,MATCHED,124980,124980
CASE_00105,PAY_5BBF38B0,SET_7B8B4881,BNK_5F6F4B28,REFUND,MATCHED,133297,133297
CASE_00106,PAY_9630F559,SET_C0A76A35,BNK_6D0F0738,OTHER,MATCHED,1554722,1554722
CASE_00107,PAY_C5AF1C48,SET_B3B33689,BNK_A989E7B7,CLEAN,MATCHED,1888456,1888456
CASE_00108,PAY_87886795,SET_332BE49C,BNK_B58491A0,CLEAN,MATCHED,282571,282571
CASE_00109,PAY_C7CAEC18,SET_D104F700,BNK_85A3A5F3,CLEAN,MATCHED,1807317,1807317
CASE_00110,PAY_979FD3B2,SET_668C8DFA,BNK_9E2CB891,CLEAN,MATCHED,933146,933146
CASE_00111,PAY_B3C14F8A,SET_EF6C5A0C,BNK_6993F6AB,CLEAN,MATCHED,352774,352774
CASE_00112,,SET_166DF773,BNK_FEF86BD9,MISSING_PAYMENT,EXCEPTION,1400842,1400842
CASE_00113,PAY_89939E2C,SET_620D0A15,BNK_E321C9CA,AMBIGUOUS,REVIEW,657704,657704
CASE_00114,PAY_2FC0E7EA,SET_1B2B548A,BNK_E8DC151A,DUPLICATE,REVIEW,41790,41790
CASE_00115,PAY_4E04153D,SET_03AE2B66,BNK_1E2D62C5,FEE_VARIANCE,EXCEPTION,1326342,1326242
CASE_00116,PAY_0EF3318D,SET_9F696204,BNK_E7039056,UNEXPLAINED_DELTA,EXCEPTION,1039866,992366
CASE_00117,PAY_0B7D436D,SET_07D12F67,BNK_13563E83,CLEAN,MATCHED,952088,952088
CASE_00118,PAY_33757E15,SET_F0830B4C,BNK_550EE43E,CLEAN,MATCHED,930803,930803
CASE_00119,PAY_C594957F,SET_D7D35522,BNK_88A8983D,AMBIGUOUS,REVIEW,720779,720779
CASE_00120,PAY_3FAA0CA2,SET_8E901231,BNK_FE4FA11A,CLEAN,MATCHED,1627366,1627366
CASE_00121,PAY_35858A6E,SET_14DDA697,BNK_717FB9AE,CLEAN,MATCHED,831015,831015
CASE_00122,PAY_5105DDFE,SET_093E2457,BNK_02FBADA6,CLEAN,MATCHED,966344,966344
CASE_00123,PAY_60194243,SET_B1A529B3,BNK_B3382DC1,REFUND,MATCHED,836464,836464
CASE_00124,PAY_D5E98FCE,SET_378FD11A,BNK_47297D6C,CLEAN,MATCHED,1462452,1462452
CASE_00125,PAY_5EA42B68,SET_321ACE5C,BNK_B344D6B0,TIMING_DIFFERENCE,MATCHED,1072674,1072674
CASE_00126,PAY_A523D161,SET_3C770A0E,BNK_51CDDA8D,FEE_VARIANCE,EXCEPTION,600486,600386
CASE_00127,PAY_F7066484,SET_4A428FAE,BNK_BF964D72,OTHER,MATCHED,219202,219202
CASE_00128,PAY_B2A03864,SET_B3179864,BNK_7FD0DFB3,TAX_VARIANCE,EXCEPTION,868606,868656
CASE_00129,PAY_8E0B93E3,SET_FEC20305,BNK_BF684399,REFUND,MATCHED,808451,808451
CASE_00130,PAY_43521A28,SET_5D7E4A1D,BNK_E6A69477,DUPLICATE,REVIEW,1950164,1950164
CASE_00131,PAY_4107FD0C,SET_28E960AC,BNK_922CB178,CLEAN,MATCHED,1865510,1865510
CASE_00132,PAY_54757C82,SET_5FC021E7,BNK_09868CBC,ONE_TO_MANY,MATCHED,1401818,1401818
CASE_00133,PAY_07A37C78,SET_B58B4E15,BNK_3144BF42,CLEAN,MATCHED,1790620,1790620
CASE_00134,PAY_D224F65B,SET_5DF4CC61,BNK_A744B4A1,CLEAN,MATCHED,166281,166281
CASE_00135,PAY_260D7C7D,SET_C8EE2430,BNK_6DD330AF,FEE_VARIANCE,EXCEPTION,460080,459980
CASE_00136,PAY_9C3E6AFA,SET_A29BC44C,BNK_39A340A0,CLEAN,MATCHED,1653924,1653924
CASE_00137,PAY_2730FCEE,SET_F49AB42B,BNK_14720AEF,REFUND,MATCHED,39923,39923
CASE_00138,PAY_AA32B8D1,SET_2E9E9E53,BNK_6BCEB734,REFUND,MATCHED,724986,724986
CASE_00139,PAY_7015DFBF,SET_2D77726C,BNK_40AA3041,CLEAN,MATCHED,56046,56046
CASE_00140,PAY_404993C5,SET_2C2B71AB,BNK_3A8B1608,CLEAN,MATCHED,86119,86119
CASE_00141,PAY_920C12C9,,,MISSING_SETTLEMENT,EXCEPTION,549323,549323
CASE_00142,PAY_90EA8ECA,SET_FAA5D83A,BNK_AF56E93E,REFERENCE_TYPO,MATCHED,530381,530381
CASE_00143,PAY_AF7673CB,SET_34F1224A,BNK_1E31FE82,HIGH_VALUE_ANOMALY,REVIEW,29292000,29292000
CASE_00144,PAY_B3E460E2,SET_FEE80F2C,BNK_82DB5F9E,CLEAN,MATCHED,1573762,1573762
CASE_00145,PAY_756AC69A,SET_1214F5CD,BNK_73610995,CLEAN,MATCHED,476679,476679
CASE_00146,PAY_1D6BACAE,SET_1E2B54DA,BNK_E72C46C6,CLEAN,MATCHED,1129793,1129793
CASE_00147,PAY_0B65C710,SET_461E1128,BNK_0291F78F,DUPLICATE,REVIEW,1146196,1146196
CASE_00148,PAY_BBC611EC,SET_A6DAAE55,BNK_BDB70653,ONE_TO_MANY,MATCHED,543855,543855
CASE_00149,PAY_9EB0C206,SET_4EDD6543,BNK_A2FCAF3B,CHARGEBACK,MATCHED,-34215,-34215
CASE_00150,PAY_EF7A25B9,SET_FC0FA30C,BNK_9F1730ED,OTHER,MATCHED,609567,609567
CASE_00151,,SET_ACA7DAEA,BNK_03B80854,MISSING_PAYMENT,EXCEPTION,1515178,1515178
CASE_00152,PAY_B07EF544,SET_6D87618E,BNK_65D2EF2F,HIGH_VALUE_ANOMALY,REVIEW,29292000,29292000
CASE_00153,PAY_11EED1B7,SET_837BA1DE,BNK_169F520B,CLEAN,MATCHED,630267,630267
CASE_00154,PAY_365B289D,SET_F5CC0200,BNK_AA9DA036,HIGH_VALUE_ANOMALY,REVIEW,29292000,29292000
CASE_00155,PAY_E27CC12C,SET_58DE2CF0,BNK_2071AA52,OTHER,MATCHED,1143365,1143365
CASE_00156,PAY_796C2B19,SET_AB291470,BNK_8269C1C4,CLEAN,MATCHED,880713,880713
CASE_00157,PAY_7E2A785C,SET_7EC3BB25,BNK_E137507A,HIGH_VALUE_ANOMALY,REVIEW,14646000,14646000
CASE_00158,PAY_C6B6D825,SET_40A9C84D,BNK_D825EBE4,CLEAN,MATCHED,1009989,1009989
CASE_00159,PAY_A670668D,SET_00147FFF,BNK_D64994EB,FEE_VARIANCE,EXCEPTION,503921,503821
CASE_00160,PAY_BAB943DD,SET_B531EE24,BNK_6FAE5693,HIGH_VALUE_ANOMALY,REVIEW,5370200,5370200
CASE_00161,PAY_4C90D379,SET_E469E835,BNK_752E1B05,CLEAN,MATCHED,911665,911665
CASE_00162,PAY_EB2C042E,SET_9C1A7386,BNK_93835508,CLEAN,MATCHED,1931808,1931808
CASE_00163,PAY_57B9CF08,SET_E802D275,BNK_C2FC508F,FEE_VARIANCE,EXCEPTION,1178320,1178220
CASE_00164,PAY_4FB058A6,SET_39553726,BNK_2367698C,CLEAN,MATCHED,1906812,1906812
CASE_00165,PAY_39AFA0D3,SET_6C8240EE,BNK_1C38E840,REFERENCE_TYPO,MATCHED,730934,730934
CASE_00166,PAY_90AAF0B1,SET_97D1A44E,BNK_11EC4642,CLEAN,MATCHED,500503,500503
CASE_00167,PAY_2D8A2E9F,SET_FABDD7C2,BNK_FC6C0629,REFUND,MATCHED,231340,231340
CASE_00168,PAY_9741FD85,SET_54BC4F81,BNK_5E68E5F8,TIMING_DIFFERENCE,MATCHED,943496,943496
CASE_00169,PAY_A16BA8CA,SET_384EE300,BNK_A77CCF0D,FEE_VARIANCE,EXCEPTION,1648652,1648552
CASE_00170,PAY_2ECF8501,SET_B61D347C,BNK_94861B93,CLEAN,MATCHED,401496,401496
CASE_00171,PAY_CC9430CB,SET_DBDAF524,BNK_F329D82A,CLEAN,MATCHED,271830,271830
CASE_00172,PAY_FDE5FE96,SET_12107131,BNK_AFC77193,UNEXPLAINED_DELTA,EXCEPTION,188543,158543
CASE_00173,PAY_DE1BB39C,SET_CAF1CABB,BNK_3746DB01,CLEAN,MATCHED,1443120,1443120
CASE_00174,PAY_D843E37B,SET_3D7B8291,BNK_D05CF0E1,CLEAN,MATCHED,294190,294190
CASE_00175,PAY_8B7707EA,SET_EF45106D,BNK_8102E1F1,TIMING_DIFFERENCE,MATCHED,466524,466524
CASE_00176,PAY_97C312AE,SET_04930254,BNK_34F63A8B,CLEAN,MATCHED,670201,670201
CASE_00177,PAY_F52160C4,SET_29B63EE2,BNK_3C1696EA,CLEAN,MATCHED,203385,203385
CASE_00178,PAY_C5FFFB44,SET_8A096B78,BNK_AF1E4D4D,UNEXPLAINED_DELTA,EXCEPTION,561040,521740
CASE_00179,PAY_92D0B812,SET_38C8175F,BNK_4077AC7E,CLEAN,MATCHED,1477587,1477587
CASE_00180,PAY_6A4BB0F3,SET_35F604CD,BNK_D6F159A8,CLEAN,MATCHED,830624,830624
CASE_00181,PAY_13AF26EB,SET_61B1D87F,BNK_5EB76E0A,UNEXPLAINED_DELTA,EXCEPTION,675376,642176
CASE_00182,PAY_190B2888,,,MISSING_SETTLEMENT,EXCEPTION,585840,585840
CASE_00183,PAY_1AE38D17,SET_63F37C4C,BNK_8D60094A,REFERENCE_TYPO,MATCHED,1702940,1702940
CASE_00184,PAY_909C8BFD,SET_657992ED,BNK_78180907,FEE_VARIANCE,EXCEPTION,1641134,1641034
CASE_00185,PAY_0D3D7630,,,MISSING_SETTLEMENT,EXCEPTION,1417929,1417929
CASE_00186,PAY_D222B376,SET_3405C5BC,BNK_052FBED7,FEE_VARIANCE,EXCEPTION,1144732,1144632
CASE_00187,PAY_28B0C104,SET_ACD940F5,BNK_CC1AD178,AMBIGUOUS,REVIEW,35834,35834
CASE_00188,,SET_715485EF,BNK_87C10823,MISSING_PAYMENT,EXCEPTION,873976,873976
CASE_00189,PAY_DB597942,SET_8C979B83,BNK_DF6C640F,ONE_TO_MANY,MATCHED,1908081,1908081
CASE_00190,PAY_B1A47671,SET_87D217F4,BNK_FBA7FAC8,CLEAN,MATCHED,1716414,1716414
CASE_00191,PAY_30941A65,SET_16ECD241,BNK_1ED69511,HIGH_VALUE_ANOMALY,REVIEW,14646000,14646000
CASE_00192,PAY_2CE9A8C4,SET_7A091889,BNK_49A557C6,CLEAN,MATCHED,511927,511927
CASE_00193,PAY_DCF7F874,SET_C005B245,BNK_505F8195,CLEAN,MATCHED,696857,696857
CASE_00194,PAY_62415B93,SET_1333B528,BNK_2C2F4CAD,ONE_TO_MANY,MATCHED,1813078,1813078
CASE_00195,PAY_5277DE1C,SET_27AE3E13,BNK_6E6E3926,CLEAN,MATCHED,774188,774188
CASE_00196,PAY_F2557DBE,SET_C6AD4E65,BNK_1A11251C,CHARGEBACK,MATCHED,-1708,-1708
CASE_00197,PAY_655A68C2,SET_8DEF462B,BNK_19764F26,CLEAN,MATCHED,1919408,1919408
CASE_00198,PAY_C14AA727,SET_A2D7C744,BNK_19479C69,REFERENCE_TYPO,MATCHED,342229,342229
CASE_00199,PAY_B4BEEC0C,SET_8FFE23AD,BNK_3C0047DD,TIMING_DIFFERENCE,MATCHED,1705478,1705478
CASE_00200,PAY_4FE38C0C,SET_ADBB9A36,BNK_00AB5259,CLEAN,MATCHED,1508831,1508831
CASE_00201,PAY_4DF0375E,SET_5886E473,BNK_A5047671,OTHER,MATCHED,1750490,1750490
CASE_00202,PAY_DF15B367,SET_8920F130,BNK_092CAC96,CLEAN,MATCHED,446411,446411
CASE_00203,PAY_373D8FD7,SET_FBD8B194,BNK_B46E6F40,REFUND,MATCHED,837083,837083
CASE_00204,PAY_15E45FE0,SET_2A0F8497,BNK_BA9877FD,CHARGEBACK,MATCHED,-37144,-37144
CASE_00205,PAY_D128CD9E,SET_4EE66CA1,BNK_78DFA78D,REFERENCE_TYPO,MATCHED,1399768,1399768
CASE_00206,PAY_D6EF2E91,SET_92330C2B,BNK_DEF52895,FEE_VARIANCE,EXCEPTION,484490,484390
CASE_00207,PAY_8F99BA5F,SET_3D0F4C9F,BNK_BA037DAE,DUPLICATE,REVIEW,80553,80553
CASE_00208,PAY_C785DE8B,SET_A4270B67,BNK_BE3FB992,CLEAN,MATCHED,881983,881983
CASE_00209,PAY_C2C131F2,SET_C9AB1DBE,BNK_4649AF6D,HIGH_VALUE_ANOMALY,REVIEW,14646000,14646000
CASE_00210,PAY_525766AD,SET_27E05CCB,BNK_BAF2E46E,CLEAN,MATCHED,491813,491813
CASE_00211,PAY_CE7C204A,SET_B33DF4BD,BNK_392011A5,CLEAN,MATCHED,789908,789908
CASE_00212,PAY_689C9D6D,SET_A3F0553B,BNK_45D1610C,CHARGEBACK,MATCHED,-26988,-26988
CASE_00213,PAY_78F54DA4,SET_BE5E5B77,BNK_8254327C,CLEAN,MATCHED,947890,947890
CASE_00214,PAY_EFD42759,SET_9754B4BD,BNK_F6363B6D,CLEAN,MATCHED,203092,203092
CASE_00215,PAY_92270331,SET_8A07B91B,BNK_A055CCB1,UNEXPLAINED_DELTA,EXCEPTION,480975,442975
CASE_00216,PAY_D37549C0,SET_63659C6C,BNK_4EF94A31,CLEAN,MATCHED,250838,250838
CASE_00217,PAY_5D30E4C9,SET_D8888EA1,BNK_4482DE22,REFUND,MATCHED,681634,681634
CASE_00218,PAY_79B94B19,SET_0042BB76,BNK_809E5996,OTHER,MATCHED,810803,810803
CASE_00219,PAY_BF3276B1,SET_74C515FF,BNK_B322B361,CLEAN,MATCHED,1779001,1779001
CASE_00220,PAY_F389950A,SET_3C0DFF36,BNK_D9B53846,DUPLICATE,REVIEW,694611,694611
CASE_00221,PAY_8E97EBFE,SET_BFDBE604,BNK_AD77EFD4,CLEAN,MATCHED,65419,65419
CASE_00222,PAY_0A8FEB55,SET_825A43D3,BNK_0DAC5A14,CLEAN,MATCHED,1663884,1663884
CASE_00223,PAY_5475B733,SET_75DB83E6,BNK_A89EFE2D,REFERENCE_TYPO,MATCHED,184540,184540
CASE_00224,PAY_8603F2D1,SET_F63A8598,BNK_1503EE8E,OTHER,MATCHED,687777,687777
CASE_00225,,SET_1A29553B,BNK_C685207E,MISSING_PAYMENT,EXCEPTION,644815,644815
CASE_00226,PAY_237E0E09,SET_89B3A8A8,BNK_F8DD92F8,CLEAN,MATCHED,171066,171066
CASE_00227,PAY_7E1B5E26,SET_D898C254,BNK_28732E89,TAX_VARIANCE,EXCEPTION,1631467,1631517
CASE_00228,PAY_656C4F07,SET_BED07768,BNK_2CEDA9B4,TIMING_DIFFERENCE,MATCHED,1095814,1095814
CASE_00229,,SET_7310BFC9,BNK_D8530023,MISSING_PAYMENT,EXCEPTION,926506,926506
CASE_00230,PAY_31E83B85,SET_727EFB91,BNK_06B00AB9,CLEAN,MATCHED,1374576,1374576
CASE_00231,PAY_A8264884,SET_14C73764,BNK_44610D59,HIGH_VALUE_ANOMALY,REVIEW,58584000,58584000
CASE_00232,PAY_00259104,SET_3C352D07,BNK_43F9B41E,CLEAN,MATCHED,1919993,1919993
